Date,SHY,IEF,TLT
2018-03-05,69.25459289550781,83.41759490966797,92.87581634521484
2018-03-06,69.23796081542969,83.40937042236328,92.96234130859375
2018-03-07,69.23796081542969,83.40937042236328,92.86006164550781
2018-03-08,69.25459289550781,83.58125305175781,93.3951644897461
2018-03-09,69.2214126586914,83.40121459960938,92.7813949584961
2018-03-12,69.25459289550781,83.59759521484375,93.31646728515625
2018-03-13,69.2712173461914,83.7367172241211,93.78861236572266
2018-03-14,69.26290130615234,83.9003677368164,94.6148452758789
2018-03-15,69.2712173461914,83.86760711669922,94.6148452758789
2018-03-16,69.23796081542969,83.7694320678711,94.2764663696289
2018-03-19,69.23796081542969,83.6876220703125,93.97747802734375
2018-03-20,69.21309661865234,83.5239486694336,93.59973907470703
2018-03-21,69.26290130615234,83.58125305175781,93.70203399658203
2018-03-22,69.29610443115234,83.92489624023438,94.63056945800781
2018-03-23,69.3127212524414,84.03948211669922,94.55975341796875
2018-03-26,69.27951049804688,83.81031799316406,94.1977767944336
2018-03-27,69.32929992675781,84.28498840332031,95.20502471923828
2018-03-28,69.33758544921875,84.26860046386719,95.45680236816406
2018-03-29,69.36251068115234,84.44047546386719,95.92108917236328
2018-04-02,69.38243865966797,84.52649688720703,96.11027526855469
2018-04-03,69.3492431640625,84.25601196289062,95.36903381347656
2018-04-04,69.30769348144531,84.20683288574219,95.17190551757812
2018-04-05,69.32428741455078,83.99372863769531,94.46224212646484
2018-04-06,69.38243865966797,84.36259460449219,95.49520874023438
2018-04-09,69.37417602539062,84.37895965576172,95.6529541015625
2018-04-10,69.34093475341797,84.23141479492188,95.47945404052734
2018-04-11,69.34093475341797,84.31336212158203,95.81851196289062
2018-04-12,69.29936218261719,84.0101089477539,95.11673736572266
2018-04-13,69.28274536132812,84.08386993408203,95.33750915527344
2018-04-16,69.27444458007812,84.04289245605469,95.36903381347656
2018-04-17,69.27444458007812,84.09204864501953,95.62926483154297
2018-04-18,69.21625518798828,83.76422119140625,94.86436462402344
2018-04-19,69.21625518798828,83.53472137451172,94.0915756225586
2018-04-20,69.19132995605469,83.25599670410156,93.41342163085938
